EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,YEAR,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE
134852,UPPER MOBILE (ZONE), ,9/1/2008,2008,500,Storm Surge/Tide, , ,0,0,100000,0,AL,CST-6, ,22989,Z,61,MOB,0,0,Buoy, , , , , , , , ,9/1/2008,2000, , , , ,"Gustav moved south and west of the Alabama Coastal waters and brought high tide levels to the area.  Due to high tides and heavy rainfall, Bayou Sara in Saraland rose to 9.3 feet, which is its 2ec highest height ever.  Fifty three residents had to be evacuated due to the high water.   With the berm being washed away, the damage estimate for Mobile county caused by the surge was close to $4M.  No deaths were reported.",Gustav moved south and west of the Alabama coastal waters bringing high surge values.
134495,LOWER BALDWIN (ZONE), ,9/1/2008,2008,500,Storm Surge/Tide, , ,0,0,500000,0,AL,CST-6, ,22989,Z,64,MOB,0,0,Buoy, , , , , , , , ,9/1/2008,2000, , , , ,Gustav moved south and west of the Alabama Coastal waters and brought high tide levels to the area.  The water eroded the sand from the beaches along the Baldwin county beaches.  The water rose over the road going to Fort Morgan and forced several residents to evacuate.  The tide gage at Fort Morgan measured a storm tide of 7.5 feet with a surge of 6.9 feet.  The gage at Perdido Pass had a storm tide height of 3.9 feet with a surge of 3.2 feet.  The surge caused about $.5M of damage to the beaches.,Gustav moved south and west of the Alabama coastal waters bringing high surge values.
134494,LOWER MOBILE (ZONE), ,9/1/2008,2008,500,Storm Surge/Tide, , ,0,0,3900000,0,AL,CST-6, ,22989,Z,63,MOB,0,0,Buoy, , , , , , , , ,9/1/2008,2000, , , , ,"Gustav moved south and west of the Alabama Coastal waters and brought high tide levels to the area.  The berm on the western end of Dauphin Island was completely washed away.  The road leading to Dauphin Island was closed due to high water.  The causeway, parts of downtown Mobile, Bayou La Batre and areas along the Dog river were also closed due to high water. Bayou La Batre had a storm tide height of 6.2 feet with a surge of 5.5 feet.  Dauphin Island had a storm tide height of 4.2 feet with a surge of 3.5 feet.  Middle Bay Lighthouse had a storm tide of 4.6 feet with a surge of 3.9 feet.  Mobile State Docks had a storm tide height of 4.9 feet with a surge of 4.2 feet.  Coast Guard Sector at Mobile had a storm tide height of 6.7 feet with a surge of 6.00 feet. With the berm being washed away, the damage estimate for Mobile county caused by the surge was close to $4M.  No deaths were reported.",Gustav moved south and west of the Alabama coastal waters bringing high surge values.
134848,LOWER MOBILE (ZONE), ,9/11/2008,2008,900,Storm Surge/Tide, , ,0,0,500000,0,AL,CST-6, ,23095,Z,63,MOB,0,0,Emergency Manager, , , , , , , , ,9/12/2008,1200, , , , ,"As hurricane Ike moved well south of coastal Alabama, storm surge caused major beach erosion across the area.  The astronomical tide was very high and the surge adding to this caused the total tide height to be at or a little higher than what occurred in Gustav.  The beaches also had very little time to recover from the battering waves of Gustav before Ike affected the area.  The beaches took a pounding from the waves and surge and the water washed across several places.  Dauphin Island was the hardest hit area with the west end getting major damage.  Gustav had washed away what was left of the berm to protect the west end and high water from Ike washed over the west end.  The road to Dauphin Island was closed for two days around the times of high tide.  The causeway was also closed for two days due to high water.  Water street in downtown Mobile had water in it from Ike.  Streams along the bay came out of their banks due to higher tides pushing the water inland.  Storm surge heights ranged between 3-4 feet with total tide heights of 4.5-5.5 feet.  The highest surge was at Bayou La Batre with 3.93 feet with a total storm tide height of 5.43 feet.  Total damage estimate caused from the surge in coastal Alabama was around $1M.","As Ike moved south of the area, high astronomical tide along with storm surge brought flooding to the immediate coastal area."
134849,LOWER BALDWIN (ZONE), ,9/11/2008,2008,900,Storm Surge/Tide, , ,0,0,500000,0,AL,CST-6, ,23095,Z,64,MOB,0,0,Emergency Manager, , , , , , , , ,9/12/2008,1200, , , , ,"As hurricane Ike moved well south of coastal Alabama, storm surge caused major beach erosion across the area.  The astronomical tide was very high and the surge adding to this caused the total tide height to be at or a little higher than what occurred in Gustav.  The beaches also had very little time to recover from the battering waves of Gustav before Ike affected the area.  The beaches took a pounding from the waves and surge and the water washed across several places.  The road leading to Fort Morgan had to be closed due to high water.  Water washed underneath many homes near Fort Morgan.  Sand covered the road going to Fort Morgan for several days after Ike.  The highest storm surge from Ike was 6.25 feet near Fort Morgan with a storm tide height of 7.75 feet.  Total damage estimate caused from the surge in coastal Alabama was around $1M.","As Ike moved south of the area, high astronomical tide along with storm surge brought flooding to the immediate coastal area."
203999,LOWER MOBILE (ZONE), ,11/10/2009,2009,0,Storm Surge/Tide, , ,0,0,0,0,AL,CST-6, ,35205,Z,63,MOB,0,0,River/Stream Gage, , , , , , , , ,11/10/2009,600, , , , ,NOAA tide gage reported a total tide height of 4.83 feet above mean low lower water in Bayou La Batre.  Mobile County Emergency Management Agency reported no damage from the increased tide levels.,"During the early morning hours of 10 November 2009 (540 AM CST), Tropical Storm Ida made initial landfall near Dauphin Island, Alabama with maximum sustained winds near 45 mph with locally higher gusts.  A second landfall occurred around 6 AM CST near Bon Secour, Alabama.  Wind and storm surge effects were relatively minimal along the Alabama and extreme northwestern Florida coastlines, with beach erosion being the primary impacts along the Alabama Gulf Coast. It should be noted that surface winds became quite gusty after Ida moved well away from the region and surface high pressure began to move in form the west on the evening after landfall. ||Before Ida made landfall, it produced heavy rains across southwest Alabama causing localized flash flooding in southern Baldwin County with minor urban and small stream flooding in other parts of southern Alabama.||Ida formed into a tropical depression on 4 November in the southwestern Caribbean Sea. The cyclone endured approximately 10 days before making landfall on the U.S. North Central Gulf Coast.   It achieved hurricane intensity twice and Category 2 intensity once prior to moving through the Yucatan Straights and into the southern Gulf of Mexico on 8 November.  It reached peak intensity of 105 mph on Sunday evening 8 November while over the southern Gulf of Mexico.  After that time, Hurricane Ida encountered very strong vertical wind shear north of 25.0 N latitude and much cooler sea water temperatures which prevented further intensification.  Ida responded by gradually weakening before making landfall as a Tropical Storm over Dauphin Island, Alabama on the morning of the 10th, before dissipating over the Florida panhandle a few hours later."
710026,LOWER MOBILE (ZONE), ,6/20/2017,2017,1030,Storm Surge/Tide, , ,0,0,0,0,AL,CST-6, ,117723,Z,63,MOB,0,0,Broadcast Media, , , , , , , , ,6/20/2017,1230, , , , ,Flooding was reported in low lying areas on the west end of Dauphin Island.,"Tropical Storm Cindy first developed in the central Gulf of Mexico on the afternoon of Tuesday, June 20th and made landfall between Cameron, LA and Port Arthur, TX during the early morning hours of Thursday, June 22nd. Despite the center of the storm being far removed from the north central Gulf Coast, the effects of Cindy extended several hundred miles to the east of the center and impacted the local area starting late Tuesday and persisting through the end of the week.||The primary impact across southwest and south central Alabama was from heavy rain and flooding. The highest storm total observed was in Thomasville, AL which measured 11.37 of rain ending Friday night, June 23rd. Numerous locations across south central and southwest Alabama recorded 5 to 10 inches of rain. The heavy rain resulted in numerous instances of flash flooding and minor to moderate river flooding. ||Coastal flooding also impacted Mobile and Baldwin Counties, particularly in the typical low lying locations. Tidal gauges indicate the maximum inundation was around 3 feet MHHW in the north end of Mobile Bay. ||Four tornadoes occurred in southern Alabama during Cindy, 3 EF-0 and 1 EF-1. ||Two fatalities occurred, one due to high surf and one due to rip currents."
709917,LOWER BALDWIN (ZONE), ,6/21/2017,2017,919,Storm Surge/Tide, , ,0,0,0,0,AL,CST-6, ,117723,Z,64,MOB,0,0,Department of Highways, , , , , , , , ,6/21/2017,1200, , , , ,The right lane of eastbound Highway 90 at the Interstate 10 interchange was closed due to flooding. The tidal gauge at Coast Guard Sector Mobile reached 2.4 feet MHHW.,"Tropical Storm Cindy first developed in the central Gulf of Mexico on the afternoon of Tuesday, June 20th and made landfall between Cameron, LA and Port Arthur, TX during the early morning hours of Thursday, June 22nd. Despite the center of the storm being far removed from the north central Gulf Coast, the effects of Cindy extended several hundred miles to the east of the center and impacted the local area starting late Tuesday and persisting through the end of the week.||The primary impact across southwest and south central Alabama was from heavy rain and flooding. The highest storm total observed was in Thomasville, AL which measured 11.37 of rain ending Friday night, June 23rd. Numerous locations across south central and southwest Alabama recorded 5 to 10 inches of rain. The heavy rain resulted in numerous instances of flash flooding and minor to moderate river flooding. ||Coastal flooding also impacted Mobile and Baldwin Counties, particularly in the typical low lying locations. Tidal gauges indicate the maximum inundation was around 3 feet MHHW in the north end of Mobile Bay. ||Four tornadoes occurred in southern Alabama during Cindy, 3 EF-0 and 1 EF-1. ||Two fatalities occurred, one due to high surf and one due to rip currents."
709940,LOWER MOBILE (ZONE), ,6/22/2017,2017,500,Storm Surge/Tide, , ,0,0,0,0,AL,CST-6, ,117723,Z,63,MOB,0,0,Social Media, , , , , , , , ,6/22/2017,1100, , , , ,Shell Belt Road in Bayou La Batre was flooded. The tidal gauge at Bayou La Batre reached 2.6 feet MHHW at 1130am CDT.,"Tropical Storm Cindy first developed in the central Gulf of Mexico on the afternoon of Tuesday, June 20th and made landfall between Cameron, LA and Port Arthur, TX during the early morning hours of Thursday, June 22nd. Despite the center of the storm being far removed from the north central Gulf Coast, the effects of Cindy extended several hundred miles to the east of the center and impacted the local area starting late Tuesday and persisting through the end of the week.||The primary impact across southwest and south central Alabama was from heavy rain and flooding. The highest storm total observed was in Thomasville, AL which measured 11.37 of rain ending Friday night, June 23rd. Numerous locations across south central and southwest Alabama recorded 5 to 10 inches of rain. The heavy rain resulted in numerous instances of flash flooding and minor to moderate river flooding. ||Coastal flooding also impacted Mobile and Baldwin Counties, particularly in the typical low lying locations. Tidal gauges indicate the maximum inundation was around 3 feet MHHW in the north end of Mobile Bay. ||Four tornadoes occurred in southern Alabama during Cindy, 3 EF-0 and 1 EF-1. ||Two fatalities occurred, one due to high surf and one due to rip currents."
709936,LOWER BALDWIN (ZONE), ,6/22/2017,2017,505,Storm Surge/Tide, , ,0,0,20000,0,AL,CST-6, ,117723,Z,64,MOB,0,0,Department of Highways, , , , , , , , ,6/22/2017,1400, , , , ,Flooding of the Highway 90 causeway started roughly around 6am CDT with both the east and west bound lanes of the Causeway closed near the Interstate 10 interchange by 9am CDT. The flooding abated by 3 to 4pm CDT.||A sidewalk near the Fairhope pier was damaged by the coastal flooding. Bayfront park in Daphne also experienced flooding. ||The tidal gauge at the Coast Gurad Sector Mobile reached at 2.99 ft MHHW at 906am CDT.,"Tropical Storm Cindy first developed in the central Gulf of Mexico on the afternoon of Tuesday, June 20th and made landfall between Cameron, LA and Port Arthur, TX during the early morning hours of Thursday, June 22nd. Despite the center of the storm being far removed from the north central Gulf Coast, the effects of Cindy extended several hundred miles to the east of the center and impacted the local area starting late Tuesday and persisting through the end of the week.||The primary impact across southwest and south central Alabama was from heavy rain and flooding. The highest storm total observed was in Thomasville, AL which measured 11.37 of rain ending Friday night, June 23rd. Numerous locations across south central and southwest Alabama recorded 5 to 10 inches of rain. The heavy rain resulted in numerous instances of flash flooding and minor to moderate river flooding. ||Coastal flooding also impacted Mobile and Baldwin Counties, particularly in the typical low lying locations. Tidal gauges indicate the maximum inundation was around 3 feet MHHW in the north end of Mobile Bay. ||Four tornadoes occurred in southern Alabama during Cindy, 3 EF-0 and 1 EF-1. ||Two fatalities occurred, one due to high surf and one due to rip currents."
724432,BALDWIN COASTAL (ZONE), ,10/7/2017,2017,2100,Storm Surge/Tide, , ,0,0,7800000,0,AL,CST-6, ,120964,Z,266,MOB,0,0,Emergency Manager, , , , , , , , ,10/8/2017,600, , , , ,,"Hurricane Nate quickly moved north northwest out of the northwest Caribbean Sea and across the Gulf of Mexico, making landfall near Biloxi, MS just after midnight on October 8th as a Category 1 hurricane with maximum winds of 85 mph. Nate quickly weakened as it moved inland across inland southeast Mississippi and southwest Alabama and was downgraded to a tropical depression over central Alabama by 10am CDT on October 8th.||The most significant damage produced by Nate was a substantial storm surge, particularly in the Mississippi Sound and Mobile Bay. The highest surge values were observed in Mobile County, AL where peak surge inundation was generally 4 to 6 feet based on official tide gauges. However, an NWS Mobile storm survey indicated a peak surge inundation of 6 to 8 feet along the immediate coastal areas of Bayou La Batre and Coden. Similar inundation levels occurred on the west end of Dauphin Island. 3 to 6 feet of inundation occurred in Baldwin County, with the highest surge occurring along the eastern shore of Mobile Bay and points further north in the Mobile River Delta. Approximately 25 homes on the west end of Dauphin Island were significantly flooded by the surge waters. Several other homes experienced minor damage from the surge. Several homes in the Bayou La Batre, Coden, and the Dog River area of Mobile County experienced 2 to 3 feet of flooding inside the structures due to the surge. Hundreds of piers were damaged or destroyed n Mobile and Baldwin Counties. Some coastal roads were also closed due to surge, including the US Highway 90 Causeway and Water Street in Downtown Mobile. The surge and large breaking waves also resulted in significant beach erosion along the gulf facing beaches. 6 feet of sand was deposited on a 3 mile stretch of Bienville Blvd on the west end of Dauphin Island. ||Winds gusts of 50+ mph were observed in coastal areas with a the highest wind gust of 66 mph recorded at the Mobile Regional Airport just after 2am on October 8th. The winds resulted mainly in scattered power outages and downed trees. Gusty winds did spread further inland into southwest and south central Alabama with isolated to scattered power outages and downed trees reported. ||The fast movement of Nate resulted in limited, if any, impacts from flooding. 3 to 6 inches of rain was reported across southwest and south central Alabama, with the highest totals occurring in Mobile and Baldwin Counties. ||Four EF-0 tornadoes were reported in southwest and south central Alabama: one in Mobile County, two in Baldwin County, and one in Butler County.||2 rip current fatalities occurred on October 9th in Fort Morgan due to continued high surf and widespread rip currents left in the wake of the hurricane.||Based on available information from public and individual assistance reports, total damage from Hurricane Nate in southwest Alabama is roughly estimated at just over $21 million, with the vast majority of the damage resulting from surge and major beach erosion in Mobile and Baldwin Counties."
