EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,,,
1077133,MONTGOMERY CO.,CHISHOLM,1/3/2023,1424,Hail,1, ,0,0,0,0,AL,CST-6, ,176804,C,101,BMX,0,0,Broadcast Media, , , ,2,SSW,2,SSW,CHISHOLM,1/3/2023,1425,32.37,-86.26,32.37,-86.26,Quarter size hail reported at Broadcast Station WAKA in Montgomery.,"A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding.",,,
1077145,LEE CO.,BEEHIVE,1/4/2023,400,Hail,1, ,0,0,0,0,AL,CST-6, ,176804,C,81,BMX,0,0,Emergency Manager, , , ,1,E,1,E,BEEHIVE,1/4/2023,401,32.548,-85.529,32.548,-85.529,Quarter size hail reported along I-85 at exit 50.,"A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding.",,,
1076815,COLBERT CO.,LANE SPGS,1/12/2023,725,Hail,1.5, ,0,0,0,0,AL,CST-6, ,175463,C,33,HUN,0,0,Emergency Manager, , , ,1,E,1,E,LANE SPGS,1/12/2023,725,34.83,-87.96,34.83,-87.96,Ping pong size hail feel north of Cherokee near the intersection of North Pike Road and Riverton Rose Trail.,Placeholder...,,,
1076819,LAUDERDALE CO.,OAKLAND,1/12/2023,731,Hail,1, ,0,0,0,0,AL,CST-6, ,175463,C,77,HUN,0,0,Public, , , ,3,NW,3,NW,OAKLAND,1/12/2023,731,34.86,-87.81,34.86,-87.81,Quarter size hail was reported near the Oakland community.,Placeholder...,,,
1077435,LAUDERDALE CO.,CLOVERDALE,1/12/2023,737,Hail,1, ,0,0,0,0,AL,CST-6, ,175463,C,77,HUN,0,0,Public, , , ,1,W,1,W,CLOVERDALE,1/12/2023,737,34.93,-87.79,34.93,-87.79,Quarter sized hail was reported in Florence.,Placeholder...,,,
1077146,SUMTER CO.,LIVINGSTON,1/12/2023,1014,Hail,1, ,0,0,0,0,AL,CST-6, ,176817,C,119,BMX,0,0,Public, , , ,1,E,1,E,LIVINGSTON,1/12/2023,1015,32.576,-88.155,32.576,-88.155,Quarter size hail reported along County Road 28.,"Numerous strong to severe thunderstorms impacted Central Alabama during the morning and afternoon hours of Thursday, January 12th, 2023. Several supercell thunderstorms spawned multiple tornadoes which caused significant damage in many areas. The severe thunderstorms also produced damaging straight-line winds and hail up to golf ball size.",,,
1077148,SHELBY CO.,TURNER,1/12/2023,1115,Hail,1, ,0,0,0,0,AL,CST-6, ,176817,C,117,BMX,0,0,NWS Employee, , , ,1,SE,1,SE,TURNER,1/12/2023,1116,33.24,-86.87,33.24,-86.87,,"Numerous strong to severe thunderstorms impacted Central Alabama during the morning and afternoon hours of Thursday, January 12th, 2023. Several supercell thunderstorms spawned multiple tornadoes which caused significant damage in many areas. The severe thunderstorms also produced damaging straight-line winds and hail up to golf ball size.",,,
1077150,SHELBY CO.,ARGYLE,1/12/2023,1126,Hail,1.75, ,0,0,0,0,AL,CST-6, ,176817,C,117,BMX,0,0,Public, , , ,0,NW,0,NW,ARGYLE,1/12/2023,1127,33.3338,-86.6357,33.3338,-86.6357,Several reports of golf ball size hail in the Chelsea area.,"Numerous strong to severe thunderstorms impacted Central Alabama during the morning and afternoon hours of Thursday, January 12th, 2023. Several supercell thunderstorms spawned multiple tornadoes which caused significant damage in many areas. The severe thunderstorms also produced damaging straight-line winds and hail up to golf ball size.",,,
1077152,TALLADEGA CO.,SYLACAUGA,1/12/2023,1240,Hail,1.25, ,0,0,0,0,AL,CST-6, ,176817,C,121,BMX,0,0,NWS Employee, , , ,0,N,0,N,SYLACAUGA,1/12/2023,1241,33.17,-86.25,33.17,-86.25,Quarter to half-dollar size hail reported in Sylacauga.,"Numerous strong to severe thunderstorms impacted Central Alabama during the morning and afternoon hours of Thursday, January 12th, 2023. Several supercell thunderstorms spawned multiple tornadoes which caused significant damage in many areas. The severe thunderstorms also produced damaging straight-line winds and hail up to golf ball size.",,,
1074167,WASHINGTON CO.,KOENTON,1/12/2023,1241,Hail,1.5, ,0,0,0,0,AL,CST-6, ,176790,C,129,MOB,0,0,Emergency Manager, , , ,2,WNW,2,WNW,KOENTON,1/12/2023,1243,31.6411,-88.3014,31.6411,-88.3014,,A very warm and moist airmass developed ahead of an approaching strong cold front. Showers and thunderstorms developed ahead of the front and moved across the area. The storms produced three tornadoes along with a swath of wind damage stretching from the I-65 corridor in Conecuh County o far southeastern Crenshaw County.,,,
1077190,TALLAPOOSA CO.,OUR TOWN,1/12/2023,1335,Hail,1, ,0,0,0,0,AL,CST-6, ,176817,C,123,BMX,0,0,Emergency Manager, , , ,1,NNW,1,NNW,OUR TOWN,1/12/2023,1336,32.8441,-85.9596,32.8441,-85.9596,Quarter size hail reported along Highway 63 south of Alexander City.,"Numerous strong to severe thunderstorms impacted Central Alabama during the morning and afternoon hours of Thursday, January 12th, 2023. Several supercell thunderstorms spawned multiple tornadoes which caused significant damage in many areas. The severe thunderstorms also produced damaging straight-line winds and hail up to golf ball size.",,,
1077153,TALLAPOOSA CO.,BEVELLE,1/12/2023,1335,Hail,1, ,0,0,0,0,AL,CST-6, ,176817,C,123,BMX,0,0,Emergency Manager, , , ,1,NW,1,NW,BEVELLE,1/12/2023,1336,32.93,-85.96,32.93,-85.96,Quarter size hail reported in Alexander City.,"Numerous strong to severe thunderstorms impacted Central Alabama during the morning and afternoon hours of Thursday, January 12th, 2023. Several supercell thunderstorms spawned multiple tornadoes which caused significant damage in many areas. The severe thunderstorms also produced damaging straight-line winds and hail up to golf ball size.",,,
1077171,CHAMBERS CO.,DOUBLEHEAD,1/12/2023,1411,Hail,1, ,0,0,0,0,AL,CST-6, ,176817,C,17,BMX,0,0,Emergency Manager, , , ,1,NW,1,NW,DOUBLEHEAD,1/12/2023,1412,33.09,-85.396,33.09,-85.396,Quarter size hail reported near the intersection of County Road 237 and County Road 258.,"Numerous strong to severe thunderstorms impacted Central Alabama during the morning and afternoon hours of Thursday, January 12th, 2023. Several supercell thunderstorms spawned multiple tornadoes which caused significant damage in many areas. The severe thunderstorms also produced damaging straight-line winds and hail up to golf ball size.",,,
1085769,COVINGTON CO.,GANTT,3/25/2023,1517,Hail,1.75, ,0,0,0,0,AL,CST-6, ,178514,C,39,MOB,0,0,Public, , , ,0,N,0,N,GANTT,3/25/2023,1519,31.4,-86.48,31.4,-86.48,,Severe thunderstorms develop across south central Alabama and produced large hail.,,,
1086690,COVINGTON CO.,GANTT,3/25/2023,1529,Hail,2, ,0,0,0,0,AL,CST-6, ,178514,C,39,MOB,0,0,Public, , , ,3,ESE,3,ESE,GANTT,3/25/2023,1531,31.3834,-86.433,31.3834,-86.433,,Severe thunderstorms develop across south central Alabama and produced large hail.,,,
1086703,COVINGTON CO.,ROSE HILL,3/25/2023,1533,Hail,1.75, ,0,0,0,0,AL,CST-6, ,178514,C,39,MOB,0,0,Broadcast Media, , , ,2,SE,2,SE,ROSE HILL,3/25/2023,1535,31.4295,-86.306,31.4295,-86.306,,Severe thunderstorms develop across south central Alabama and produced large hail.,,,
