EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,YEAR,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE
5156678,BALDWIN CENTRAL (ZONE), ,9/21/2000,2000,900,Tropical Storm, , ,0,0,0,0,AL,CST, ,1103069,Z,264,MOB,0,0,NEWSPAPER, , , , , , , , ,9/22/2000,900, , , , ,,"Tropical Storm Helene affected the region during the later half of the third week of September.  The area was put under a Tropical Storm Warning at 900 AM, September 21 that continued until 900 AM, September 22.   The highest winds recorded along the Alabama coastline occurred at Brookley Field  with sustained winds of  26 knots and gusts to 31 knots.    Brookley also received the most rainfall along the Alabama coast with 1.08 inches.   Minor beach erosion was reported on Dauphin Island, where a newly built protective sand berm was partially eroded and several boardwalks were damaged by high surf."
5156679,MOBILE CENTRAL (ZONE), ,9/21/2000,2000,900,Tropical Storm, , ,0,0,10000,0,AL,CST, ,1103069,Z,263,MOB,0,0,NEWSPAPER, , , , , , , , ,9/22/2000,900, , , , ,,"Tropical Storm Helene affected the region during the later half of the third week of September.  The area was put under a Tropical Storm Warning at 900 AM, September 21 that continued until 900 AM, September 22.   The highest winds recorded along the Alabama coastline occurred at Brookley Field  with sustained winds of  26 knots and gusts to 31 knots.    Brookley also received the most rainfall along the Alabama coast with 1.08 inches.   Minor beach erosion was reported on Dauphin Island, where a newly built protective sand berm was partially eroded and several boardwalks were damaged by high surf."
5156681,MOBILE INLAND (ZONE), ,9/21/2000,2000,900,Tropical Storm, , ,0,0,0,0,AL,CST, ,1103069,Z,261,MOB,0,0,NEWSPAPER, , , , , , , , ,9/22/2000,900, , , , ,,"Tropical Storm Helene affected the region during the later half of the third week of September.  The area was put under a Tropical Storm Warning at 900 AM, September 21 that continued until 900 AM, September 22.   The highest winds recorded along the Alabama coastline occurred at Brookley Field  with sustained winds of  26 knots and gusts to 31 knots.    Brookley also received the most rainfall along the Alabama coast with 1.08 inches.   Minor beach erosion was reported on Dauphin Island, where a newly built protective sand berm was partially eroded and several boardwalks were damaged by high surf."
5156680,BALDWIN INLAND (ZONE), ,9/21/2000,2000,900,Tropical Storm, , ,0,0,0,0,AL,CST, ,1103069,Z,262,MOB,0,0,NEWSPAPER, , , , , , , , ,9/22/2000,900, , , , ,,"Tropical Storm Helene affected the region during the later half of the third week of September.  The area was put under a Tropical Storm Warning at 900 AM, September 21 that continued until 900 AM, September 22.   The highest winds recorded along the Alabama coastline occurred at Brookley Field  with sustained winds of  26 knots and gusts to 31 knots.    Brookley also received the most rainfall along the Alabama coast with 1.08 inches.   Minor beach erosion was reported on Dauphin Island, where a newly built protective sand berm was partially eroded and several boardwalks were damaged by high surf."
5264847,BALDWIN CENTRAL (ZONE), ,8/4/2001,2001,900,Tropical Storm, , ,0,0,40000,0,AL,CST, ,1121902,Z,264,MOB,0,0,NEWSPAPER, , , , , , , , ,8/5/2001,2300, , , , ,,"Tropical Storm Barry affected the area on the 4th and 5th.  Coastal Alabama was put under a Tropical Storm Watch at 900 am on August 4.  The watch was upgraded to a Tropical Storm Warning at 300 pm on August 4 and to a Hurricane Warning at 700 am on August 5.  The Hurricane Warning was lowered to a Tropical Storm Warning at 900 pm on August 5 and dropped at 1100 pm on August 5.  Most of the damage along coastal Alabama was minor beach erosion.  The new berm on Dauphin Island, built to protect homes against storm surge, had a twenty foot section of the berm washed away.  Storm surge in coastal Mobile and Baldwin counties was estimated at 1 to 2 feet.  The highest wind speed measured in the area was a gust of 35 mph at the Mobile Regional Airport.  Very little rain fell over coastal Alabama with Brookley getting about three-quarters of an inch."
5264849,BALDWIN INLAND (ZONE), ,8/4/2001,2001,900,Tropical Storm, , ,0,0,0,0,AL,CST, ,1121902,Z,262,MOB,0,0,NEWSPAPER, , , , , , , , ,8/5/2001,2300, , , , ,,"Tropical Storm Barry affected the area on the 4th and 5th.  Coastal Alabama was put under a Tropical Storm Watch at 900 am on August 4.  The watch was upgraded to a Tropical Storm Warning at 300 pm on August 4 and to a Hurricane Warning at 700 am on August 5.  The Hurricane Warning was lowered to a Tropical Storm Warning at 900 pm on August 5 and dropped at 1100 pm on August 5.  Most of the damage along coastal Alabama was minor beach erosion.  The new berm on Dauphin Island, built to protect homes against storm surge, had a twenty foot section of the berm washed away.  Storm surge in coastal Mobile and Baldwin counties was estimated at 1 to 2 feet.  The highest wind speed measured in the area was a gust of 35 mph at the Mobile Regional Airport.  Very little rain fell over coastal Alabama with Brookley getting about three-quarters of an inch."
5264850,MOBILE INLAND (ZONE), ,8/4/2001,2001,900,Tropical Storm, , ,0,0,0,0,AL,CST, ,1121902,Z,261,MOB,0,0,NEWSPAPER, , , , , , , , ,8/5/2001,2300, , , , ,,"Tropical Storm Barry affected the area on the 4th and 5th.  Coastal Alabama was put under a Tropical Storm Watch at 900 am on August 4.  The watch was upgraded to a Tropical Storm Warning at 300 pm on August 4 and to a Hurricane Warning at 700 am on August 5.  The Hurricane Warning was lowered to a Tropical Storm Warning at 900 pm on August 5 and dropped at 1100 pm on August 5.  Most of the damage along coastal Alabama was minor beach erosion.  The new berm on Dauphin Island, built to protect homes against storm surge, had a twenty foot section of the berm washed away.  Storm surge in coastal Mobile and Baldwin counties was estimated at 1 to 2 feet.  The highest wind speed measured in the area was a gust of 35 mph at the Mobile Regional Airport.  Very little rain fell over coastal Alabama with Brookley getting about three-quarters of an inch."
5264848,MOBILE CENTRAL (ZONE), ,8/4/2001,2001,900,Tropical Storm, , ,0,0,0,0,AL,CST, ,1121902,Z,263,MOB,0,0,NEWSPAPER, , , , , , , , ,8/5/2001,2300, , , , ,,"Tropical Storm Barry affected the area on the 4th and 5th.  Coastal Alabama was put under a Tropical Storm Watch at 900 am on August 4.  The watch was upgraded to a Tropical Storm Warning at 300 pm on August 4 and to a Hurricane Warning at 700 am on August 5.  The Hurricane Warning was lowered to a Tropical Storm Warning at 900 pm on August 5 and dropped at 1100 pm on August 5.  Most of the damage along coastal Alabama was minor beach erosion.  The new berm on Dauphin Island, built to protect homes against storm surge, had a twenty foot section of the berm washed away.  Storm surge in coastal Mobile and Baldwin counties was estimated at 1 to 2 feet.  The highest wind speed measured in the area was a gust of 35 mph at the Mobile Regional Airport.  Very little rain fell over coastal Alabama with Brookley getting about three-quarters of an inch."
5264558,COFFEE (ZONE), ,8/5/2001,2001,1800,Tropical Storm, , ,0,0,250000,0,AL,EST, ,1122005,Z,65,TAE,0,0,EMERGENCY MANAGER, , , , , , , , ,8/6/2001,1800, , , , ,"Tropical Storm Barry moved ashore between Panama City and Destin, Florida, during the early morning hours of 6 August, then rapidly weakened to a tropical depression over southwest Alabama by afternoon.  Rainbands associated with Barry began moving northward across much of southeast Alabama during the late evening hours of 5 August.  Maximum sustained winds of 25-30 mph with gusts to 40 mph were reported.  24-hour rainfall totals from Barry ranged from 1.22 inches at Dothan to 3.50 inches at Ozark, Alabama.  

Due to already saturated grounds, the strong winds felled numerous trees, many of those into power lines causing scattered outages in Coffee, Geneva and Dale counties.  Several county roads were impassable due to downed trees, limbs and debris.  Only minor street flooding was reported in Geneva, Enterprise and  New Brockton, Alabama.",
5264559,DALE (ZONE), ,8/5/2001,2001,1800,Tropical Storm, , ,0,0,0,0,AL,EST, ,1122005,Z,66,TAE,0,0,EMERGENCY MANAGER, , , , , , , , ,8/6/2001,1800, , , , ,,
