County,County_FIPS,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages,Avg_Hail_Size,Avg_ThWind_Speed,Avg_Tor_EF,Cluster
BARBOUR CO.,5,62,35,0,0,0,4,138000,745000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,77000.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,83000.0,1.214090909090909,51.14754098360656,0.6571428571428571,3
BIBB CO.,7,70,27,0,1,1,16,389000,14452750,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,260000.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,259000.0,1.1497560975609755,52.31884057971015,0.925925925925926,3
BULLOCK CO.,11,48,19,0,0,0,0,493000,159000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,64000.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,14000.0,0.9673333333333332,52.208333333333336,0.3684210526315789,3
CALHOUN CO.,15,142,18,0,17,0,54,1140000,127124000,,,,,,,,,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,56000.0,2.0,115.0,0.0,0.0,0.0,0.0,0.0,433500.0,1.1430434782608694,51.5,1.2222222222222223,3
CHAMBERS CO.,17,73,17,0,0,0,2,306000,2113000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,33000.0,3.0,59.0,0.0,0.0,0.0,0.0,2526000.0,26000.0,1.1952542372881356,50.84931506849315,0.7647058823529411,3
CHEROKEE CO.,19,153,10,0,3,2,33,555500,20639000,,,,,,,,,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,108000.0,8.0,90.0,0.0,0.0,0.0,0.0,0.0,89000.0,1.200888888888889,51.00653594771242,1.3,3
CHILTON CO.,21,106,22,0,0,0,1,521000,848000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,180000.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,183000.0,1.1996610169491526,51.62264150943396,0.8181818181818182,3
CLAY CO.,27,83,11,0,0,1,1,298000,411000,,,,,,,,,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,69000.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,7000.0,1.03825,51.40963855421687,0.4545454545454545,3
CLEBURNE CO.,29,63,7,0,0,0,0,611100,1900000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,49000.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.2132432432432432,52.193548387096776,1.1428571428571428,3
COOSA CO.,37,44,18,0,0,0,2,89000,415100,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,140000.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,25000.0,1.1280851063829789,51.93181818181818,0.8888888888888888,3
