metrics,mean,median,min,max,stdev,variance,25th_perc,75th_perc
ThunderstormWind_Count,109.0,109.0,109.0,109.0,,,109.0,109.0
Tornado_Count,12.0,12.0,12.0,12.0,,,12.0,12.0
ThunderstormWind_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Tornado_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
ThunderstormWind_Injuries,1.0,1.0,1.0,1.0,,,1.0,1.0
Tornado_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
ThunderstormWind_PropertyDamages,2004000.0,2004000.0,2004000.0,2004000.0,,,2004000.0,2004000.0
Tornado_PropertyDamages,353000.0,353000.0,353000.0,353000.0,,,353000.0,353000.0
CoastalFlood_Count,,,,,,,,
StormSurge/Tide_Count,,,,,,,,
CoastalFlood_Deaths,,,,,,,,
StormSurge/Tide_Deaths,,,,,,,,
CoastalFlood_Injuries,,,,,,,,
StormSurge/Tide_Injuries,,,,,,,,
CoastalFlood_PropertyDamages,,,,,,,,
StormSurge/Tide_PropertyDamages,,,,,,,,
Hurricane_Count,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_Count,2.0,2.0,2.0,2.0,,,2.0,2.0
TropicalStorm_Count,4.0,4.0,4.0,4.0,,,4.0,4.0
Hurricane_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalStorm_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Hurricane_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalStorm_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
Hurricane_PropertyDamages,0.0,0.0,0.0,0.0,,,0.0,0.0
TropicalDepression_PropertyDamages,2000.0,2000.0,2000.0,2000.0,,,2000.0,2000.0
TropicalStorm_PropertyDamages,62000.0,62000.0,62000.0,62000.0,,,62000.0,62000.0
Flood_Count,5.0,5.0,5.0,5.0,,,5.0,5.0
Hail_Count,69.0,69.0,69.0,69.0,,,69.0,69.0
Flood_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Hail_Deaths,0.0,0.0,0.0,0.0,,,0.0,0.0
Flood_Injuries,1.0,1.0,1.0,1.0,,,1.0,1.0
Hail_Injuries,0.0,0.0,0.0,0.0,,,0.0,0.0
Flood_PropertyDamages,301000.0,301000.0,301000.0,301000.0,,,301000.0,301000.0
Hail_PropertyDamages,77000.0,77000.0,77000.0,77000.0,,,77000.0,77000.0
Avg_Hail_Size,1.1817391304347824,1.1817391304347824,1.1817391304347824,1.1817391304347824,,,1.1817391304347824,1.1817391304347824
Avg_ThWind_Speed,52.38532110091743,52.38532110091743,52.38532110091743,52.38532110091743,,,52.38532110091743,52.38532110091743
Avg_Tor_EF,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.6666666666666666,0.6666666666666666
