,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages,Avg_Hail_Size,Avg_ThWind_Speed,Avg_Tor_EF
cluster_1,314,27,1,3,13,34,2246000,21832000,,,,,,,,,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,1125000.0,6.0,76.0,0.0,0.0,0.0,0.0,767000.0,1410000.0,1.3021951219512196,55.30232558139535,1.2222222222222223
cluster_2,355,26,5,9,6,52,4654800,254463500,,,,,,,,,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3590000.0,0.0,1710860.0,12.0,76.0,2.0,0.0,0.0,0.0,3160000.0,55000.0,1.5357142857142858,54.4375,0.631578947368421
cluster_3,258,40,0,23,4,109,1382000,127124000,,,,,,,,,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22000.0,4210000.0,8.0,140.0,0.0,0.0,0.0,0.0,2526000.0,793000.0,1.3253333333333333,52.46341463414634,1.3
cluster_4,109,12,0,0,1,0,2004000,353000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,62000.0,5.0,69.0,0.0,0.0,1.0,0.0,301000.0,77000.0,1.1817391304347824,52.38532110091743,0.6666666666666666
cluster_5,209,37,0,6,3,24,1085000,51848900,,,,,,,,,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,235000.0,3.0,73.0,0.0,0.0,0.0,0.0,5000.0,611000.0,1.2009589041095892,50.36842105263158,0.7297297297297297
cluster_6,414,54,2,32,35,201,4290500,1001723000,,,,,,,,,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20000.0,3060000.0,35.0,169.0,0.0,0.0,0.0,0.0,1100000.0,2711000.0,1.2564462809917356,53.59487179487179,1.4
cluster_7,368,43,2,6,3,97,1667000,16066000,,,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,22.0,144.0,0.0,0.0,0.0,1.0,465000.0,96000.0,1.1104166666666666,51.10597826086956,1.0232558139534884
cluster_8,251,56,0,0,14,10,5664000,4184000,16.0,19.0,0.0,1.0,0.0,0.0,50000.0,15500000.0,12.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3696060000.0,0.0,5960000.0,9.0,120.0,1.0,0.0,0.0,0.0,20000.0,51000.0,1.1959574468085106,54.34426229508197,0.5178571428571429
cluster_9,393,61,3,55,15,964,3098000,1536033000,,,,,,,,,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13000.0,6400000.0,12.0,263.0,0.0,0.0,0.0,0.0,20000.0,1326000.0,1.104848484848485,52.19421487603306,1.0384615384615383
cluster_10,953,50,2,10,19,8,22667900,4890000,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,49.0,346.0,1.0,0.0,0.0,0.0,1018000.0,270000.0,1.130751445086705,50.45540540540541,1.0
