,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages,Avg_Hail_Size,Avg_ThWind_Speed,Avg_Tor_EF
cluster_1,43,9,0,0,0,0,390000,561000,,,,,,,,,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9356521739130436,51.43373493975904,0.45
cluster_2,128,15,0,0,1,3,1120000,2412000,,,,,,,,,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,1.0,21.0,0.0,0.0,0.0,0.0,1785000.0,0.0,0.9938235294117648,51.54822335025381,0.4
cluster_3,41,7,0,0,0,0,89000,159000,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,33000.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.9673333333333332,50.23275862068966,0.3684210526315789
cluster_4,109,12,0,0,1,0,2004000,353000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,62000.0,5.0,69.0,0.0,0.0,1.0,0.0,301000.0,77000.0,1.1817391304347824,52.38532110091743,0.6666666666666666
cluster_5,209,37,0,6,3,24,1085000,51848900,,,,,,,,,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,235000.0,3.0,73.0,0.0,0.0,0.0,0.0,5000.0,611000.0,1.2009589041095892,50.36842105263158,0.7297297297297297
cluster_6,89,12,0,0,0,0,621000,1017000,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.04,50.74045801526717,0.5370370370370371
cluster_7,368,43,2,6,3,97,1667000,16066000,,,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,22.0,144.0,0.0,0.0,0.0,1.0,465000.0,96000.0,1.1104166666666666,51.10597826086956,1.0232558139534884
cluster_8,183,47,0,0,9,7,2409500,2202000,6.0,19.0,0.0,0.0,0.0,0.0,20000.0,9528000.0,11.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,234555000.0,0.0,4380000.0,8.0,94.0,0.0,0.0,0.0,0.0,18000.0,17000.0,1.042,54.21513944223108,0.4893617021276595
cluster_9,242,52,3,24,4,840,2808600,737010000,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,5700000.0,10.0,165.0,0.0,0.0,0.0,0.0,0.0,590000.0,1.0773764258555134,51.83673469387755,0.9344262295081968
cluster_10,672,25,1,0,1,3,10942500,633000,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,87.0,0.0,0.0,0.0,0.0,0.0,6500.0,1.0614942528735631,48.40861344537815,0.7142857142857143
