,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages,Avg_Hail_Size,Avg_ThWind_Speed,Avg_Tor_EF
cluster_1,78.16183677008063,5.869799439039246,0.3015113445777636,1.0269106361049412,4.011347540529129,13.044678469155013,666383.2119938743,6864825.624482056,,,,,,,,,0.8312094145936334,0.0,2.053821272209882,0.0,0.0,0.0,0.0,0.0,0.0,92441.62777371754,0.0,410046.1801154509,1.8877596148970777,17.752848683060314,0.0,0.0,0.0,0.0,256159.8932485156,545453.9560602877,0.1024399675676009,1.304719011234627,0.24218752332755794
cluster_2,106.02004527446685,4.654746681256314,2.3804761428476167,4.08248290463863,2.217355782608345,23.30057223903882,1540007.6841664352,125555886.81896135,,,,,,,,,0.5,0.0,2.8284271247461903,0.0,0.0,0.0,0.0,0.0,0.0,1724354.9518588104,0.0,779884.1911249815,5.228129047119374,23.530122538284125,1.0,0.0,0.0,0.0,620290.6949433736,25961.50997149434,0.25440210949929565,1.3546441454777098,0.11097732121450202
cluster_3,50.92978827104363,9.10256374142289,0.0,5.623759122390171,1.1789826122551597,24.669616940682317,354877.6808399386,32867373.585100442,,,,,,,,,0.0,0.2768874620972691,0.8306623862918078,0.0,0.0,0.0,0.0,0.0,0.9128709291752769,0.0,5169.461609619839,1210408.9019831275,2.7129319932501073,30.262738364750362,0.0,0.0,0.0,0.0,603206.2858867879,177691.8634415581,0.10446883902231772,0.5832201795721496,0.23944573317030426
cluster_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_6,102.10234916926424,11.034038245356955,0.6063390625908325,10.547860111945761,8.859607613140865,52.29216564874029,1261705.5591743544,239900207.79130486,,,,,,,,,0.0,0.7524469885568255,0.701888209634219,0.0,0.0,0.0,0.0,0.0,0.242535625036333,0.0,5117.7315746909035,834770.3849491999,10.560748636564828,33.49637820632518,0.0,0.0,0.0,0.0,272441.3050656643,728486.2326608998,0.0528324476602512,0.7981132526116432,0.2040633921242842
cluster_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_8,48.08326112068523,6.363961030678928,0.0,0.0,3.5355339059327378,2.1213203435596424,2301279.019371619,1401485.640311737,7.0710678118654755,0.0,0.0,0.7071067811865476,0.0,0.0,21213.203435596424,4222841.697246062,0.7071067811865476,0.0,2.1213203435596424,0.0,0.0,0.0,0.0,0.0,0.0,2447653658.6111403,0.0,1117228.7142747452,0.7071067811865476,18.384776310850235,0.7071067811865476,0.0,0.0,0.0,1414.213562373095,24041.630560342615,0.10886435465246498,0.09130364485701774,0.020149319372717054
cluster_9,106.77312395916867,6.363961030678928,0.0,21.920310216782973,7.7781745930520225,87.68124086713189,204636.70247538685,564994581.6240188,,,,,,,,,0.0,0.7071067811865476,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,7778.174593052023,494974.74683058326,1.4142135623730951,69.29646455628166,0.0,0.0,0.0,0.0,14142.13562373095,520430.59095329896,0.019425679207087064,0.2527766609419603,0.07356407244374537
cluster_10,146.6026375388019,13.650396819628847,0.5773502691896257,5.773502691896257,10.115993936995679,2.516611478423583,5949056.069663489,2196527.3349843235,,,,,,,,,0.0,1.1547005383792517,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13228.756555322952,0.0,15.50268793897798,135.40433277164115,0.5773502691896258,0.0,0.0,0.0,584877.1950874245,147340.02624315408,0.03806865512253796,1.0418633043079661,0.16333263917664517
