,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages,Avg_Hail_Size,Avg_ThWind_Speed,Avg_Tor_EF
cluster_1,6109.272727272727,34.45454545454545,0.09090909090909087,1.0545454545454547,16.09090909090909,170.16363636363636,444066585227.27277,47125830854545.45,,,,,,,,,0.6909090909090908,0.0,4.218181818181818,0.0,0.0,0.0,0.0,0.0,0.0,8545454545.454546,0.0,168137869827.27277,3.5636363636363626,315.1636363636364,0.0,0.0,0.0,0.0,65617890909.09092,297520018181.8182,0.010493946955251125,1.7022916982770624,0.058654796455536416
cluster_2,11240.25,21.666666666666668,5.666666666666667,16.666666666666668,4.916666666666667,542.9166666666666,2371623667291.6665,1.5764280714895832e+16,,,,,,,,,0.25,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2973400000000.0,0.0,608219351566.6666,27.333333333333332,553.6666666666666,1.0,0.0,0.0,0.0,384760546233.3333,674000000.0,0.06472043331769162,1.8350607608770344,0.012315965823946758
cluster_3,2593.8433333333332,82.85666666666665,0.0,31.62666666666666,1.39,608.59,125938168358.33333,1080264246382558.4,,,,,,,,,0.0,0.07666666666666665,0.6900000000000004,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,26723333.333333332,1465089710000.0,7.36,915.8333333333335,0.0,0.0,0.0,0.0,363857823333.3333,31574398333.333332,0.010913738326670934,0.34014577786017036,0.057334259133464544
cluster_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_6,10424.889705882355,121.75,0.3676470588235295,111.25735294117645,78.49264705882356,2734.4705882352937,1591900918051.4702,5.755210969831125e+16,,,,,,,,,0.0,0.5661764705882354,0.4926470588235295,0.0,0.0,0.0,0.0,0.0,0.05882352941176472,0.0,26191176.470588233,696841595588.2354,111.52941176470588,1122.0073529411766,0.0,0.0,0.0,0.0,74224264705.88235,530692191176.47064,0.0027912675257731824,0.6369847639943367,0.041641868005269374
cluster_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_8,2312.0,40.5,0.0,0.0,12.5,4.5,5295885125000.0,1964162000000.0,50.0,0.0,0.0,0.5,0.0,0.0,450000000.0,17832392000000.0,0.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,5.9910084325125e+18,0.0,1248200000000.0,0.5,338.0,0.5,0.0,0.0,0.0,2000000.0,578000000.0,0.011851447713897675,0.008336355564176423,0.00040599507118375077
cluster_9,11400.5,40.5,0.0,480.5,60.5,7688.0,41876180000.0,3.192188772645e+17,,,,,,,,,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60500000.0,245000000000.0,2.0,4802.0,0.0,0.0,0.0,0.0,200000000.0,270848000000.0,0.00037735701265665474,0.06389604031696673,0.005411672754508616
cluster_10,21492.333333333332,186.33333333333334,0.3333333333333333,33.33333333333333,102.33333333333334,6.333333333333333,35391268120000.0,4824732333333.334,,,,,,,,,0.0,1.3333333333333335,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175000000.0,0.0,240.33333333333334,18334.333333333336,0.33333333333333337,0.0,0.0,0.0,342081333333.33325,21709083333.33333,0.0014492225028387357,1.0854791448635137,0.026677551020408165
